Weekly_GenAI_Hours,Traditional_Study_Hours,Perceived_AI_Dependency,Burnout_Risk_Level,Anxiety_Level_During_Exams,Institutional_Policy
22.71,10.13,4,high,10,strict_ban
14.61,9.87,7,high,10,strict_ban
5.67,6.05,4,medium,10,allowed_with_citation
30.61,13.89,7,medium,10,strict_ban
14.34,4.91,7,low,10,allowed_with_citation
21.22,8.22,8,high,10,strict_ban
40.0,7.27,10,high,10,strict_ban
24.46,9.03,6,high,10,strict_ban
1.53,5.02,5,medium,10,allowed_with_citation
18.08,9.56,4,medium,10,allowed_with_citation
16.31,11.07,7,medium,10,strict_ban
30.75,13.63,8,high,10,strict_ban
31.49,14.82,7,high,10,strict_ban
18.88,8.33,6,high,10,strict_ban
12.8,3.27,6,high,10,strict_ban
21.31,8.66,6,medium,10,strict_ban
0.91,4.09,4,high,10,actively_encouraged
19.49,15.94,6,high,10,strict_ban
11.76,11.48,5,high,10,strict_ban
22.96,17.7,4,high,10,strict_ban
12.12,11.77,4,medium,10,strict_ban
40.0,1.0,9,high,10,strict_ban
13.09,13.75,6,low,10,strict_ban
24.54,11.04,8,high,10,strict_ban
13.33,9.53,4,medium,10,strict_ban
14.37,10.25,6,high,10,strict_ban
25.52,10.92,7,high,10,strict_ban
27.72,7.38,7,high,10,strict_ban
36.49,6.43,7,high,10,strict_ban
3.45,15.39,6,high,10,allowed_with_citation
3.74,6.57,2,low,10,allowed_with_citation
40.0,6.1,10,high,10,strict_ban
24.89,13.36,7,high,10,strict_ban
17.91,10.93,4,high,10,strict_ban
37.49,5.56,7,high,10,strict_ban
34.44,14.84,8,high,10,strict_ban
16.17,14.05,5,low,10,actively_encouraged
12.91,12.93,5,high,10,strict_ban
35.53,14.45,8,high,10,strict_ban
33.85,9.59,8,high,10,strict_ban
29.15,9.57,7,high,10,actively_encouraged
21.88,11.21,9,high,10,strict_ban
30.78,12.59,9,high,10,strict_ban
25.1,21.69,7,high,10,strict_ban
18.43,8.09,5,high,10,strict_ban
29.53,10.29,5,high,10,strict_ban
14.42,13.67,5,medium,10,strict_ban
29.74,13.63,5,high,10,strict_ban
20.25,8.62,7,medium,10,strict_ban
22.87,18.47,5,high,10,strict_ban
21.14,2.36,4,high,10,strict_ban
40.0,13.3,9,high,10,strict_ban
3.3,15.7,5,low,10,allowed_with_citation
38.0,11.78,8,high,10,strict_ban
15.83,9.54,7,high,10,actively_encouraged
20.93,16.34,3,medium,10,allowed_with_citation
40.0,17.26,9,high,10,allowed_with_citation
