,Post_Semester_GPA_bracket,Pre_Semester_GPA_bracket,Skill_Retention_Score,Weekly_hours_bracket,GPA_diff,Year_of_Study
0,2-3,2-3,86.44,20-25,2.418,senior
1,3-4,3-4,69.39,0-5,1.4280000000000004,junior
2,3-4,3-4,73.93,20-25,-0.29800000000000004,freshman
3,3-4,3-4,63.58,0-5,0.29000000000000004,senior
4,3-4,3-4,100.0,05-10,-0.3650000000000002,sophomore
5,3-4,3-4,65.92,05-10,-0.3490000000000002,junior
6,3-4,3-4,67.97,30-35,-0.04400000000000004,freshman
7,2-3,2-3,85.09,05-10,-1.254,junior
8,3-4,3-4,55.71,0-5,0.45500000000000007,sophomore
9,2-3,3-4,87.18,15-20,-0.3500000000000001,sophomore
10,3-4,3-4,95.42,05-10,0.4289999999999998,graduate
11,2-3,2-3,72.41,0-5,-0.9900000000000002,junior
12,3-4,3-4,67.68,0-5,0.7800000000000002,senior
13,3-4,3-4,64.47,05-10,-0.387,junior
14,3-4,3-4,70.7,0-5,-0.7330000000000001,freshman
15,2-3,2-3,70.66,10-15,-1.0459999999999998,senior
16,3-4,2-3,59.69,0-5,0.7029999999999998,sophomore
17,3-4,3-4,90.65,05-10,-0.05799999999999983,senior
18,3-4,2-3,53.95,0-5,-0.41500000000000004,junior
19,3-4,3-4,74.23,0-5,-0.10699999999999976,sophomore
20,2-3,2-3,78.28,0-5,-0.5509999999999997,sophomore
21,3-4,3-4,67.56,0-5,0.7709999999999999,senior
22,3-4,3-4,68.81,10-15,0.19300000000000006,junior
23,3-4,3-4,55.33,0-5,-0.16999999999999993,senior
24,2-3,2-3,63.38,25-30,-1.396,freshman
25,3-4,3-4,81.85,0-5,0.7199999999999998,senior
26,3-4,3-4,82.36,15-20,-0.6619999999999999,sophomore
27,3-4,3-4,67.74,20-25,-0.52,junior
28,3-4,3-4,74.67,0-5,-0.20500000000000007,freshman
29,3-4,3-4,61.29,10-15,0.5499999999999998,sophomore
30,3-4,3-4,88.44,0-5,-0.26900000000000013,senior
31,1-2,1-2,56.81,0-5,-2.54,sophomore
32,3-4,2-3,74.03,0-5,1.5139999999999998,graduate
33,3-4,3-4,89.14,05-10,-0.12799999999999967,senior
34,3-4,3-4,67.2,15-20,-0.21499999999999986,graduate
35,3-4,3-4,55.89,0-5,0.42500000000000027,sophomore
36,3-4,3-4,75.11,0-5,-0.25,freshman
37,3-4,3-4,96.68,15-20,0.5259999999999998,junior
38,2-3,2-3,74.3,0-5,-1.233,sophomore
39,3-4,3-4,92.44,0-5,0.7209999999999996,junior
40,2-3,2-3,84.71,05-10,-1.142,senior
41,3-4,3-4,72.05,0-5,0.8530000000000002,senior
42,3-4,3-4,68.22,05-10,-0.0349999999999997,freshman
43,3-4,3-4,79.79,0-5,-0.8609999999999998,senior
44,3-4,3-4,62.75,10-15,-0.26400000000000023,junior
45,3-4,3-4,99.25,05-10,0.05600000000000005,junior
46,3-4,3-4,76.67,05-10,-0.10000000000000009,sophomore
47,3-4,3-4,86.73,05-10,-0.4889999999999999,junior
48,2-3,2-3,87.51,05-10,-0.9220000000000002,senior
49,3-4,3-4,83.76,10-15,0.23100000000000032,senior
50,3-4,3-4,61.2,10-15,-0.06700000000000017,sophomore
51,2-3,2-3,69.95,10-15,-1.5670000000000002,senior
52,3-4,2-3,59.46,10-15,0.05500000000000016,sophomore
53,3-4,3-4,79.82,0-5,0.5770000000000004,senior
54,3-4,3-4,62.77,0-5,-0.7369999999999997,junior
55,3-4,3-4,63.38,20-25,0.03600000000000003,senior
56,3-4,3-4,60.88,0-5,0.3160000000000003,junior
57,3-4,3-4,80.19,05-10,-0.7389999999999999,sophomore
58,3-4,3-4,83.39,0-5,-0.32699999999999996,junior
59,3-4,3-4,70.28,10-15,-0.2270000000000003,sophomore
60,3-4,3-4,77.49,05-10,0.17900000000000027,sophomore
61,3-4,3-4,60.08,0-5,-0.45100000000000007,freshman
62,2-3,2-3,77.44,15-20,-1.501,senior
63,2-3,2-3,57.43,05-10,0.43199999999999994,freshman
64,3-4,3-4,75.58,05-10,0.673,graduate
65,3-4,3-4,80.16,0-5,-0.8480000000000003,freshman
66,3-4,3-4,80.75,05-10,-0.08699999999999974,graduate
67,3-4,3-4,60.58,0-5,-0.09600000000000009,graduate
68,3-4,3-4,78.14,15-20,-0.11299999999999999,sophomore
69,2-3,2-3,65.48,05-10,-1.041,graduate
70,3-4,3-4,53.65,15-20,0.09600000000000009,graduate
71,3-4,3-4,45.39,10-15,-0.17799999999999994,freshman
72,3-4,3-4,80.79,05-10,-0.07500000000000018,graduate
73,2-3,2-3,63.96,05-10,-1.1079999999999997,freshman
74,3-4,2-3,58.03,0-5,-0.04300000000000015,freshman
75,2-3,2-3,72.32,05-10,-1.3659999999999997,junior
76,2-3,2-3,78.1,05-10,0.026000000000000245,freshman
77,3-4,3-4,85.55,0-5,1.238,freshman
78,3-4,2-3,77.88,05-10,-1.31,graduate
79,3-4,2-3,76.51,05-10,-0.34799999999999986,graduate
80,3-4,3-4,69.29,0-5,-0.019000000000000128,senior
81,3-4,3-4,64.26,05-10,0.137,junior
82,3-4,3-4,75.13,10-15,-0.19999999999999973,graduate
83,3-4,3-4,73.6,0-5,-0.0040000000000000036,freshman
84,2-3,2-3,65.13,05-10,-1.5589999999999997,graduate
85,3-4,3-4,81.48,05-10,0.7519999999999998,sophomore
86,3-4,3-4,93.82,05-10,-0.30100000000000016,graduate
87,2-3,2-3,59.64,10-15,-0.6670000000000003,senior
88,3-4,3-4,79.27,05-10,0.512,graduate
89,3-4,3-4,68.8,30-35,0.15500000000000025,graduate
90,2-3,2-3,55.09,05-10,-1.504,graduate
91,3-4,2-3,65.99,05-10,-0.15799999999999992,junior
92,2-3,2-3,68.77,0-5,-0.5779999999999998,senior
93,3-4,2-3,74.32,10-15,-0.10899999999999999,senior
94,3-4,3-4,76.16,20-25,-0.07099999999999973,freshman
