,Post_Semester_GPA_bracket,Pre_Semester_GPA_bracket,Skill_Retention_Score,Weekly_hours_bracket,GPA_diff,Year_of_Study
0,2-3,2-3,86.44,20-25,2.418,Senior
1,3-4,3-4,69.39,0-5,1.4280000000000004,Junior
2,3-4,3-4,73.93,20-25,-0.29800000000000004,Freshman
3,3-4,3-4,63.58,0-5,0.29000000000000004,Senior
4,3-4,3-4,100.0,05-10,-0.3650000000000002,Sophomore
5,3-4,3-4,65.92,05-10,-0.3490000000000002,Junior
6,3-4,3-4,67.97,30-35,-0.04400000000000004,Freshman
7,2-3,2-3,85.09,05-10,-1.254,Junior
8,3-4,3-4,55.71,0-5,0.45500000000000007,Sophomore
9,2-3,3-4,87.18,15-20,-0.3500000000000001,Sophomore
10,3-4,3-4,95.42,05-10,0.4289999999999998,Graduate
11,2-3,2-3,72.41,0-5,-0.9900000000000002,Junior
12,3-4,3-4,67.68,0-5,0.7800000000000002,Senior
13,3-4,3-4,64.47,05-10,-0.387,Junior
14,3-4,3-4,70.7,0-5,-0.7330000000000001,Freshman
15,2-3,2-3,70.66,10-15,-1.0459999999999998,Senior
16,3-4,2-3,59.69,0-5,0.7029999999999998,Sophomore
17,3-4,3-4,90.65,05-10,-0.05799999999999983,Senior
18,3-4,2-3,53.95,0-5,-0.41500000000000004,Junior
19,3-4,3-4,74.23,0-5,-0.10699999999999976,Sophomore
20,2-3,2-3,78.28,0-5,-0.5509999999999997,Sophomore
21,3-4,3-4,67.56,0-5,0.7709999999999999,Senior
22,3-4,3-4,68.81,10-15,0.19300000000000006,Junior
23,3-4,3-4,55.33,0-5,-0.16999999999999993,Senior
24,2-3,2-3,63.38,25-30,-1.396,Freshman
25,3-4,3-4,81.85,0-5,0.7199999999999998,Senior
26,3-4,3-4,82.36,15-20,-0.6619999999999999,Sophomore
27,3-4,3-4,67.74,20-25,-0.52,Junior
28,3-4,3-4,74.67,0-5,-0.20500000000000007,Freshman
29,3-4,3-4,61.29,10-15,0.5499999999999998,Sophomore
30,3-4,3-4,88.44,0-5,-0.26900000000000013,Senior
31,1-2,1-2,56.81,0-5,-2.54,Sophomore
32,3-4,2-3,74.03,0-5,1.5139999999999998,Graduate
33,3-4,3-4,89.14,05-10,-0.12799999999999967,Senior
34,3-4,3-4,67.2,15-20,-0.21499999999999986,Graduate
35,3-4,3-4,55.89,0-5,0.42500000000000027,Sophomore
36,3-4,3-4,75.11,0-5,-0.25,Freshman
37,3-4,3-4,96.68,15-20,0.5259999999999998,Junior
38,2-3,2-3,74.3,0-5,-1.233,Sophomore
39,3-4,3-4,92.44,0-5,0.7209999999999996,Junior
40,2-3,2-3,84.71,05-10,-1.142,Senior
41,3-4,3-4,72.05,0-5,0.8530000000000002,Senior
42,3-4,3-4,68.22,05-10,-0.0349999999999997,Freshman
43,3-4,3-4,79.79,0-5,-0.8609999999999998,Senior
44,3-4,3-4,62.75,10-15,-0.26400000000000023,Junior
45,3-4,3-4,99.25,05-10,0.05600000000000005,Junior
46,3-4,3-4,76.67,05-10,-0.10000000000000009,Sophomore
47,3-4,3-4,86.73,05-10,-0.4889999999999999,Junior
48,2-3,2-3,87.51,05-10,-0.9220000000000002,Senior
49,3-4,3-4,83.76,10-15,0.23100000000000032,Senior
50,3-4,3-4,61.2,10-15,-0.06700000000000017,Sophomore
51,2-3,2-3,69.95,10-15,-1.5670000000000002,Senior
52,3-4,2-3,59.46,10-15,0.05500000000000016,Sophomore
53,3-4,3-4,79.82,0-5,0.5770000000000004,Senior
54,3-4,3-4,62.77,0-5,-0.7369999999999997,Junior
55,3-4,3-4,63.38,20-25,0.03600000000000003,Senior
56,3-4,3-4,60.88,0-5,0.3160000000000003,Junior
57,3-4,3-4,80.19,05-10,-0.7389999999999999,Sophomore
58,3-4,3-4,83.39,0-5,-0.32699999999999996,Junior
59,3-4,3-4,70.28,10-15,-0.2270000000000003,Sophomore
60,3-4,3-4,77.49,05-10,0.17900000000000027,Sophomore
61,3-4,3-4,60.08,0-5,-0.45100000000000007,Freshman
62,2-3,2-3,77.44,15-20,-1.501,Senior
63,2-3,2-3,57.43,05-10,0.43199999999999994,Freshman
64,3-4,3-4,75.58,05-10,0.673,Graduate
65,3-4,3-4,80.16,0-5,-0.8480000000000003,Freshman
66,3-4,3-4,80.75,05-10,-0.08699999999999974,Graduate
67,3-4,3-4,60.58,0-5,-0.09600000000000009,Graduate
68,3-4,3-4,78.14,15-20,-0.11299999999999999,Sophomore
69,2-3,2-3,65.48,05-10,-1.041,Graduate
70,3-4,3-4,53.65,15-20,0.09600000000000009,Graduate
71,3-4,3-4,45.39,10-15,-0.17799999999999994,Freshman
72,3-4,3-4,80.79,05-10,-0.07500000000000018,Graduate
73,2-3,2-3,63.96,05-10,-1.1079999999999997,Freshman
74,3-4,2-3,58.03,0-5,-0.04300000000000015,Freshman
75,2-3,2-3,72.32,05-10,-1.3659999999999997,Junior
76,2-3,2-3,78.1,05-10,0.026000000000000245,Freshman
77,3-4,3-4,85.55,0-5,1.238,Freshman
78,3-4,2-3,77.88,05-10,-1.31,Graduate
79,3-4,2-3,76.51,05-10,-0.34799999999999986,Graduate
80,3-4,3-4,69.29,0-5,-0.019000000000000128,Senior
81,3-4,3-4,64.26,05-10,0.137,Junior
82,3-4,3-4,75.13,10-15,-0.19999999999999973,Graduate
83,3-4,3-4,73.6,0-5,-0.0040000000000000036,Freshman
84,2-3,2-3,65.13,05-10,-1.5589999999999997,Graduate
85,3-4,3-4,81.48,05-10,0.7519999999999998,Sophomore
86,3-4,3-4,93.82,05-10,-0.30100000000000016,Graduate
87,2-3,2-3,59.64,10-15,-0.6670000000000003,Senior
88,3-4,3-4,79.27,05-10,0.512,Graduate
89,3-4,3-4,68.8,30-35,0.15500000000000025,Graduate
90,2-3,2-3,55.09,05-10,-1.504,Graduate
91,3-4,2-3,65.99,05-10,-0.15799999999999992,Junior
